,filename,mainSound,length,sampleRate,quality,isCut,isMixed,isChecked,threat,salience,importance
0,3-142349-A-17,natural,5.0,44100,7,1,0,1,0,3,0
1,5-262641-A-15,natural,5.0,44100,7,1,0,0,2,3,2
2,74364-8-1-16,siren,4.0,44100,7,1,0,0,8,9,9
3,30206-7-0-34,exterior,4.0,44100,7,1,0,0,2,8,0
4,0nRjUf5Dm8o_30,siren,10.0,16000,3,0,1,1,8,9,9
5,157868-8-0-5,siren,4.0,44100,7,1,0,0,8,9,9
6,2-70280-A-18,natural,5.0,44100,7,1,0,1,0,4,0
7,3-152020-C-36,interior,5.0,44100,7,1,0,1,0,7,0
8,157867-8-0-13,siren,4.0,44100,7,1,0,0,8,9,9
9,5-127990-A-2,animal,5.0,44100,7,1,0,0,2,5,0
10,2-188822-D-40,exterior,5.0,44100,7,1,0,1,2,5,5
11,189981-0-0-9,interior,4.0,44100,7,1,0,0,2,5,0
12,72221-3-1-0,animal,4.0,44100,7,1,0,0,4,5,4
13,168906-9-0-128,exterior,4.0,48000,7,1,0,0,0,5,0
14,3-128160-A-44,exterior,5.0,44100,7,1,0,1,0,3,3
15,0W1CqVVcV1A_30,siren,10.0,16000,3,0,1,1,8,9,9
16,72539-3-0-6,animal,4.0,11025,7,1,0,0,4,5,4
17,57320-0-0-27,interior,4.0,44100,7,1,0,0,2,5,0
18,1-24524-A-19,natural,5.0,44100,7,1,0,1,2,3,6
19,63724-0-0-12,interior,4.0,44100,7,1,0,0,2,5,0
20,-XM382S09ok_30,siren,10.0,16000,3,0,1,1,3,6,3
21,-tWd3jMXGPo_30,siren,10.0,16000,3,0,1,1,8,9,9
22,0SjHwU_cSA8_30,siren,10.0,16000,3,0,1,1,8,9,9
23,129356-2-0-129,human,4.0,44100,7,1,0,0,0,5,0
24,3ISCUTeusjE_70,siren,10.0,16000,3,0,1,1,6,9,9
25,-sfn1NDHWJI_30,siren,9.9811875,16000,3,0,1,1,8,9,9
26,208652-8-2-0,siren,1.4878231292517006,44100,7,1,0,0,8,9,9
27,189981-0-0-1,interior,4.0,44100,7,1,0,0,2,5,0
28,6RvKsx7R1PQ_10,exterior,10.0,16000,3,0,1,1,0,3,0
29,1-63871-A-10,natural,5.0,44100,7,1,0,1,0,3,0
30,1-18757-A-4,animal,5.0,44100,7,1,0,1,0,5,0
31,118279-8-0-2,siren,4.0,48000,7,1,0,0,8,9,9
32,157866-8-0-6,siren,4.0,44100,7,1,0,0,8,9,9
33,167701-4-0-0,exterior,1.33,44100,7,1,0,0,0,6,0
34,74677-0-0-38,interior,4.0,44100,7,1,0,0,2,5,0
35,3-62878-A-42,siren,5.0,44100,7,1,0,1,8,9,9
36,74726-8-1-2,siren,4.0,44100,7,1,0,0,8,9,9
37,189981-0-0-4,interior,4.0,44100,7,1,0,0,2,5,0
38,109703-2-0-153,human,4.0,48000,7,1,0,0,0,5,0
39,17615-3-0-4,animal,4.0,44100,7,1,0,0,4,5,4
40,203913-8-1-1,siren,4.0,44100,7,1,0,0,8,9,9
41,3-151557-B-28,interior,5.0,44100,7,1,0,1,0,3,0
42,74507-0-0-15,interior,4.0,44100,7,1,0,0,2,5,0
43,125678-7-4-3,exterior,4.0,44100,7,1,0,0,2,8,0
44,4-144083-C-16,natural,5.0,44100,7,1,0,0,2,3,2
45,1-57318-A-13,natural,5.0,44100,7,1,0,1,0,3,0
46,125678-7-2-7,exterior,4.0,44100,7,1,0,0,2,8,0
47,14358-3-0-90,animal,4.0,44100,7,1,0,0,4,5,4
48,3-132852-A-10,natural,5.0,44100,7,1,0,1,0,2,0
49,5-219342-A-38,interior,5.0,44100,7,1,0,0,0,7,0
50,3ComHEFnxpQ_0,siren,7.5465,16000,3,0,1,1,6,9,9
51,94636-8-0-2,siren,4.0,44100,7,1,0,0,8,9,9
52,-kr4SUjnm88_29,siren,8.98425,16000,3,0,1,1,8,9,9
53,151005-4-3-2,exterior,4.0,44100,7,1,0,0,0,6,0
54,121528-8-1-0,siren,4.0,44100,7,1,0,0,8,9,9
55,3-51376-A-42,siren,5.0,44100,7,1,0,1,8,9,9
56,52441-3-1-2,animal,4.0,44100,7,1,0,0,4,5,4
57,-4JG_Ag99hY_30,siren,10.0,16000,3,0,1,1,8,8,7
58,80806-2-0-3,human,4.0,44100,7,1,0,0,0,5,0
59,118279-8-0-10,siren,4.0,48000,7,1,0,0,8,9,9
60,62837-7-0-17,exterior,4.0,44100,7,1,0,0,2,8,0
61,-eZNV7eD9tQ_0,siren,9.993,16000,3,0,1,1,8,8,9
62,1-34119-B-1,animal,5.0,44100,7,1,0,1,0,5,0
63,66619-2-0-18,human,4.0,44100,7,1,0,0,0,5,0
64,102853-8-0-6,siren,4.0,44100,7,1,0,0,8,9,9
65,-FHSBdx5A3g_40,siren,10.0,16000,3,0,1,1,9,9,9
66,22883-7-17-4,exterior,4.0,48000,7,1,0,0,2,8,0
67,22601-8-0-14,siren,4.0,48000,7,1,0,0,8,9,9
68,1-84393-A-32,interior,5.0,44100,7,1,0,1,0,5,0
69,9031-3-2-0,animal,2.297596371882086,44100,7,1,0,0,4,5,4
70,40722-8-0-4,siren,4.0,11025,7,1,0,0,8,9,9
71,47g5m1VJc60_13,siren,10.0,16000,3,0,1,1,6,9,9
72,60LwGkWKs50_230,siren,10.0,16000,3,0,1,1,6,9,9
73,02-5FpksR4U_30,siren,10.0,16000,3,0,1,1,8,9,9
74,97606-7-3-0,exterior,1.53,44100,7,1,0,0,2,8,0
75,34952-8-0-1,siren,4.0,44100,7,1,0,0,8,9,9
76,2-25292-A-22,human,5.0,44100,7,1,0,1,0,5,0
77,-9pUUT-6o8U_30,siren,10.0004375,16000,3,0,1,1,3,5,4
78,5-201664-A-18,natural,5.0,44100,7,1,0,0,2,3,2
79,22601-8-0-26,siren,4.0,48000,7,1,0,0,8,9,9
80,4-167155-A-32,interior,5.0,44100,7,1,0,0,0,7,0
81,85362-3-3-0,animal,4.0,44100,7,1,0,0,4,5,4
82,157868-8-0-9,siren,4.0,44100,7,1,0,0,8,9,9
83,17853-5-0-13,exterior,4.0,44100,7,1,0,0,0,4,0
84,24347-8-0-41,siren,4.0,48000,7,1,0,0,8,9,9
85,62878-8-0-1,siren,4.0,48000,7,1,0,0,8,9,9
86,157867-8-0-2,siren,4.0,44100,7,1,0,0,8,9,9
87,156418-3-1-0,animal,4.0,44100,7,1,0,0,4,5,4
88,3-156581-A-14,human,5.0,44100,7,1,0,1,0,4,0
89,124489-9-0-12,exterior,4.0,44100,7,1,0,0,0,5,0
90,94636-8-0-0,siren,4.0,44100,7,1,0,0,8,9,9
91,96657-8-0-1,siren,4.0,44100,7,1,0,0,8,9,9
92,5-182007-A-36,interior,5.0,44100,7,1,0,0,0,7,0
93,2-102414-B-17,natural,5.0,44100,7,1,0,1,0,3,0
94,-w-9yF465IY_30,siren,10.0,16000,3,0,1,1,8,9,9
95,72723-3-0-0,animal,1.41,44100,7,1,0,0,4,5,4
96,165454-0-0-8,interior,4.0,48000,7,1,0,0,2,5,0
97,164053-8-2-0,siren,4.0,44100,7,1,0,0,8,9,9
98,3-139331-A-27,human,5.0,44100,7,1,0,1,0,5,0
99,83502-0-0-7,interior,4.0,44100,7,1,0,0,2,5,0
100,31973-9-0-57,exterior,4.0,44100,7,1,0,0,0,5,0
101,72579-3-0-3,animal,4.0,44100,7,1,0,0,4,5,4
102,184623-8-0-1,siren,4.0,44100,7,1,0,0,8,9,9
103,189987-0-0-4,interior,4.0,44100,7,1,0,0,2,5,0
104,3qcV4fTEeb4_300,siren,10.0,16000,3,0,1,1,6,9,9
105,2-126433-A-17,natural,5.0,44100,7,1,0,1,0,3,0
106,1-27166-A-35,interior,5.0,44100,7,1,0,1,0,7,0
107,123688-8-2-3,siren,4.0,44100,7,1,0,0,8,9,9
108,7r0NonCqIQ0_80,siren,10.0,16000,3,0,1,1,6,9,9
109,137969-2-0-20,human,4.0,44100,7,1,0,0,0,5,0
110,4Hy1t6KBY4o_520,siren,10.0,16000,3,0,1,1,8,9,9
111,2-112213-A-39,interior,5.0,44100,7,1,0,1,9,9,9
112,2-39443-B-19,natural,5.0,44100,7,1,0,1,5,8,6
113,133090-2-0-64,human,4.0,44100,7,1,0,0,0,5,0
114,2-85471-A-34,interior,5.0,44100,7,1,0,1,0,7,0
115,BW_rrz7h0oA_140,siren,10.0,16000,3,0,1,1,6,9,9
116,4-166661-A-10,natural,5.0,44100,7,1,0,0,2,3,2
117,107653-9-0-14,exterior,4.0,44100,7,1,0,0,0,5,0
118,24347-8-0-10,siren,4.0,48000,7,1,0,0,8,9,9
119,3-155642-B-11,natural,5.0,44100,7,1,0,1,0,3,0
120,5-210571-A-38,interior,5.0,44100,7,1,0,0,0,7,0
121,4-165791-A-45,exterior,5.0,44100,7,1,0,0,2,5,5
122,13579-2-0-2,human,4.0,44100,7,1,0,0,0,5,0
123,4-161303-A-5,animal,5.0,44100,7,1,0,0,2,5,0
124,5-231551-A-36,interior,5.0,44100,7,1,0,0,0,7,0
125,111671-8-0-22,siren,4.0,48000,7,1,0,0,8,9,9
126,-1U98XBTyB4_30,siren,10.0,16000,3,0,1,1,8,8,9
127,-z3pnj1aMck_0,siren,9.566625,16000,3,0,1,1,8,9,9
128,2-209476-A-25,human,5.0,44100,7,1,0,1,0,5,0
129,2-32515-B-4,animal,5.0,44100,7,1,0,1,0,7,0
130,157867-8-0-1,siren,4.0,44100,7,1,0,0,8,9,9
131,6LXQMQ3Cs0o_30,siren,10.0,16000,3,0,1,1,6,9,9
132,173891-9-0-1,exterior,4.0,44100,7,1,0,0,0,5,0
133,2-81112-A-34,interior,5.0,44100,7,1,0,1,0,7,0
134,94636-8-0-14,siren,4.0,44100,7,1,0,0,8,9,9
135,24347-8-0-17,siren,4.0,48000,7,1,0,0,8,9,9
136,107357-8-1-14,siren,4.0,44100,7,1,0,0,8,9,9
137,GA_xfkTgdnU_90,siren,10.0,16000,3,0,1,1,6,9,9
138,157868-8-0-11,siren,4.0,44100,7,1,0,0,8,9,9
139,-k6p9n9y22Q_30,siren,10.0,16000,3,0,1,1,8,9,9
140,76266-2-0-50,human,4.0,44100,7,1,0,0,0,5,0
141,30204-0-0-7,interior,4.0,44100,7,1,0,0,2,5,0
142,61626-9-0-7,exterior,4.0,44100,7,1,0,0,0,5,0
143,4-123680-A-18,natural,5.0,44100,7,1,0,1,0,3,0
144,3-187549-B-6,animal,5.0,44100,7,1,0,1,0,7,0
145,1-36164-B-26,human,5.0,44100,7,1,0,1,0,5,0
146,102857-5-0-15,exterior,4.0,44100,7,1,0,0,0,4,0
147,166942-0-0-5,interior,4.0,48000,7,1,0,0,2,5,0
