,filename,mainSound,length,sampleRate,quality,isCut,isMixed,isChecked,threat,salience,importance
0,---1_cCGK4M_0,exterior,10.0,16000,3,0,1,1,2,3,3
1,---lTs1dxhU_30,exterior,10.0,16000,5,0,1,1,3,4,5
2,--330hg-Ocw_30,exterior,10.0,16000,3,0,1,1,3,5,3
3,--8hipdKBT4_10,exterior,10.0,16000,3,0,1,1,2,5,6
4,--8puiAGLhs_30,exterior,10.0,16000,4,0,1,1,5,7,7
5,--9VR_F7CtY_30,exterior,10.0,16000,3,0,1,1,7,6,6
6,--BFPeFaj2o_0,exterior,10.0,16000,1,0,1,1,8,2,8
7,--F70LWypIg_30,exterior,10.0,16000,3,0,1,1,3,5,3
8,--HXYSM3ydo_2,exterior,9.9430625,16000,1,0,1,1,7,7,7
9,--2XRMjyizo_0,animal,10.0,16000,2,0,1,1,1,5,1
10,--AErD4Wx6c_0,animal,10.0,16000,3,0,1,1,2,5,1
11,--HG_OhVeV4_30,animal,10.0,16000,2,0,1,1,1,3,1
12,--YiwOrObMM_60,animal,10.0,16000,4,0,1,1,3,7,3
13,--pQ2j2x10I_120,animal,10.0,16000,3,0,1,1,5,8,5
14,--v7FsvvYng_40,animal,10.0,16000,3,0,1,1,6,5,4
15,-09rxiqNNEs_30,siren,10.0,16000,3,0,1,1,9,9,9
16,-0Eem_FuIto_15,siren,9.830125,16000,3,0,1,1,9,9,9
17,-0Hf2I8AFI8_20,siren,10.0,16000,3,0,1,1,9,9,9
18,-122tCXtFhU_30,siren,10.0,16000,3,0,1,1,9,9,9
19,-1U98XBTyB4_30,siren,10.0,16000,3,0,1,1,8,8,9
20,-25_9bBK-l4_30,siren,10.0004375,16000,3,0,1,1,6,9,9
21,-2GlU3e0nTU_170,siren,10.0,16000,3,0,1,1,7,7,9
22,-2sT5oBBWWY_30,siren,10.0,16000,3,0,1,1,6,5,7
23,-3oUmjZ4b9o_50,siren,10.0,16000,3,0,1,1,6,8,9
24,-3qh-WFUV2U_30,siren,10.0005,16000,3,0,1,1,8,9,9
25,-45cKZA7Jww_30,siren,10.0,16000,3,0,1,1,9,9,9
26,-4B435WQvag_20,siren,9.1410625,16000,3,0,1,1,8,6,9
27,-4JG_Ag99hY_30,siren,10.0,16000,3,0,1,1,8,8,7
28,-5o4C4ZtHSU_30,siren,10.0008125,16000,3,0,1,1,6,9,8
29,-60NmEaP0is_0,siren,9.993,16000,3,0,1,1,6,7,7
30,-6WqJCSmkCw_70,siren,10.0,16000,3,0,1,1,8,9,9
31,-6iVBmb5PZU_60,siren,10.0,16000,3,0,1,1,8,7,8
32,-6qhtwdfGOA_23,siren,9.3418125,16000,3,0,1,1,9,9,9
33,-6qp8NjWffE_70,siren,10.0,16000,3,0,1,1,7,8,9
34,-72pUaj4jLE_10,siren,10.0,16000,3,0,1,1,5,7,7
35,-75iY1j3MeY_30,siren,10.0,16000,3,0,1,1,7,7,8
36,-7HVWUwyMig_30,siren,10.0,16000,3,0,1,1,6,5,7
37,-8K_V4VdkfM_20,siren,10.0,16000,3,0,1,1,9,9,9
38,-8mcyL3kWNQ_330,siren,10.0,16000,3,0,1,1,6,8,9
39,-8uyNBFbdFc_40,siren,10.0,16000,3,0,1,1,7,8,8
40,-92omiHkXQE_500,siren,10.0,16000,3,0,1,1,6,8,9
41,-9NHoSfQzPQ_30,siren,10.0,16000,3,0,1,1,5,7,7
42,-9Tvm67kojg_30,siren,10.0,16000,3,0,1,1,6,9,8
43,-9_xB_Jgx3k_5,siren,10.0,16000,3,0,1,1,6,9,6
44,-9pUUT-6o8U_30,siren,10.0004375,16000,3,0,1,1,3,5,4
45,-AF7wp3ezww_140,siren,10.0,16000,3,0,1,1,8,9,9
46,-AFASmp1fpk_6,siren,9.07775,16000,3,0,1,1,7,7,8
47,-AwaisiFQjY_70,siren,10.0,16000,3,0,1,1,6,5,7
48,-B68bRDzQi8_230,siren,10.0,16000,3,0,1,1,8,9,8
49,-CQ3qyRIGGw_30,siren,10.0,16000,3,0,1,1,4,4,5
50,-DXUMMSmd-A_20,siren,10.0,16000,3,0,1,1,7,7,8
51,-E3Yju3lrRo_30,siren,10.0,16000,3,0,1,1,7,6,7
52,-Ei2LE71Dfg_20,siren,10.0,16000,3,0,1,1,6,8,9
53,-EyM48ZMyGw_30,siren,10.0,16000,3,0,1,1,7,8,6
54,-F2lk9A8B8M_30,siren,10.0,16000,3,0,1,1,7,9,5
55,-FDuKNxl3KE_0,siren,9.993,16000,3,0,1,1,5,8,7
56,-FHSBdx5A3g_40,siren,10.0,16000,3,0,1,1,9,9,9
57,-FHYoiyXjVo_30,siren,10.0,16000,3,0,1,1,4,6,4
58,-HIPemUA6V4_220,siren,10.0,16000,3,0,1,1,6,8,8
59,-HZbxhzv_SU_10,siren,10.0,16000,3,0,1,1,5,8,8
60,-HdYwS49Gns_80,siren,10.0,16000,3,0,1,1,8,6,8
61,-HfqvSo8xpA_30,siren,10.0,16000,3,0,1,1,7,7,8
62,-I0P9j7JeRs_17,siren,9.5861875,16000,3,0,1,1,8,8,9
63,-I20lsJHMl4_21,siren,9.7628125,16000,3,0,1,1,3,6,4
64,-J_IY9RHDqQ_50,siren,10.0,16000,3,0,1,1,9,7,9
65,-JhSzxTdcwY_30,siren,10.0,16000,3,0,1,1,6,9,8
66,-Jsu4dbuO4A_30,siren,10.0,16000,3,0,1,1,8,9,9
